 ,Beanie,Book,BottleCap,Cap,EarBuds,FireAlarm,GlassesCase,Glove,Mask,Mic,Pen,Phone,Remote,Spoon,Umbrella,Wallet,Watch,Total,Accuracy
Glove,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,28,0.964285714
Mask,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,24,0.958333333
Beanie,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26,0.923076923
Remote,0,1,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,19,0.894736842
EarBuds,0,0,0,0,25,0,1,0,0,0,0,1,0,0,1,0,0,28,0.892857143
Spoon,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18,0.888888889
Umbrella,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,0,0,15,0.866666667
Mic,0,0,0,0,0,0,0,0,2,26,0,1,0,0,0,0,3,32,0.8125
Wallet,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,20,0.8
Phone,0,0,0,0,0,0,5,0,0,0,0,23,1,0,0,0,0,29,0.793103448
Pen,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,1,22,0.772727273
Book,0,13,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,17,0.764705882
GlassesCase,0,0,0,0,0,0,19,1,1,0,0,4,0,0,0,0,0,25,0.76
Cap,0,1,2,14,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0.7
FireAlarm,0,1,1,0,0,10,0,0,0,0,0,0,0,0,1,2,0,15,0.666666667
BottleCap,1,0,7,1,0,0,0,0,0,0,0,1,0,2,1,0,0,13,0.538461538
Watch,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,10,0.5
,,,,,,,,,,,,,,,,,,,0.793941783
