 ,Beanie,Book,BottleCap,Cap,EarBuds,FireAlarm,GlassesCase,Glove,Mask,Mic,Pen,Phone,Remote,Spoon,Umbrella,Wallet,Watch,Total,Accuracy
Glove,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,28,0.964285714
Book,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.941176471
EarBuds,0,0,0,0,26,0,0,0,0,0,0,0,0,1,1,0,0,28,0.928571429
Beanie,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26,0.923076923
GlassesCase,0,0,1,0,0,0,23,0,0,0,0,1,0,0,0,0,0,25,0.92
Spoon,0,0,0,0,1,0,0,0,0,0,1,0,0,16,0,0,0,18,0.888888889
Mask,0,0,0,0,0,0,0,0,21,0,0,2,1,0,0,0,0,24,0.875
Umbrella,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,0,0,15,0.866666667
Pen,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,2,22,0.863636364
Mic,0,0,0,0,0,0,0,0,3,26,0,0,1,0,0,0,2,32,0.8125
Wallet,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16,0,20,0.8
Phone,0,0,0,0,0,0,4,0,0,0,0,23,1,0,1,0,0,29,0.793103448
Remote,0,0,0,0,0,0,0,0,3,0,0,1,15,0,0,0,0,19,0.789473684
Cap,0,0,4,14,0,1,0,0,0,0,0,0,0,0,0,1,0,20,0.7
FireAlarm,1,0,0,2,0,9,0,0,0,0,0,0,0,0,1,2,0,15,0.6
Watch,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5,10,0.5
BottleCap,0,0,6,4,0,1,0,0,0,0,0,0,0,1,1,0,0,13,0.461538462
,,,,,,,,,,,,,,,,,,,0.801642238
